Time,Weight
13_50_09,0.5
13_50_10,0.57
13_50_11,0.55
13_50_12,0.57
13_50_13,0.58
13_50_14,0.49
13_50_15,0.64
13_50_16,0.55
13_50_17,0.6
13_50_18,0.59
13_50_20,0.5
13_50_21,0.64
13_50_22,0.57
13_50_23,0.6
13_50_24,0.54
13_50_25,0.6
13_50_26,0.47
13_50_27,0.55
13_50_28,0.59
13_50_29,0.66
13_50_30,0.57
13_50_31,0.55
13_50_32,0.68
13_50_33,0.63
13_50_34,0.6
13_50_35,0.51
13_50_36,0.64
13_50_37,0.56
13_50_38,0.57
13_50_39,0.56
13_50_40,0.54
13_50_41,0.55
13_50_42,0.47
13_50_43,0.53
13_50_44,0.56
13_50_45,0.66
13_50_46,0.52
13_50_47,0.5
13_50_48,0.64
13_50_49,0.53
13_50_50,0.68
13_50_51,0.49
13_50_52,0.62
13_50_53,0.5
13_50_54,0.64
13_50_55,0.62
13_50_56,0.62
13_50_57,0.56
13_50_59,0.62
13_51_00,0.65
13_51_01,0.61
13_51_02,0.65
13_51_03,0.62
13_51_04,0.63
13_51_05,0.55
13_51_06,0.56
13_51_07,0.62
13_51_08,0.57
13_51_09,0.55
13_51_10,0.48
13_51_11,0.54
13_51_12,0.54
13_51_13,0.57
13_51_14,0.55
13_51_15,0.48
13_51_16,0.64
13_51_17,0.43
13_51_18,0.7
13_51_19,0.58
13_51_20,0.5
13_51_21,0.6
13_51_22,0.64
13_51_23,0.52
13_51_24,0.56
13_51_25,0.56
13_51_26,0.64
13_51_27,0.52
13_51_28,0.64
13_51_29,0.61
13_51_30,0.61
13_51_31,0.56
13_51_32,0.63
13_51_33,0.58
13_51_34,0.55
13_51_35,0.63
13_51_36,0.51
13_51_38,0.57
13_51_39,0.59
13_51_40,0.62
13_51_41,0.59
13_51_42,0.51
13_51_43,0.66
13_51_44,0.94
13_51_45,0.63
13_51_46,0.47
13_51_47,0.76
13_51_48,0.69
13_51_49,0.7
13_51_50,0.69
13_51_51,0.54
13_51_52,0.61
13_51_53,0.58
13_51_54,0.54
13_51_55,0.48
13_51_56,0.75
13_51_57,0.59
13_51_58,0.58
13_51_59,0.59
13_52_00,0.47
13_52_01,0.48
13_52_02,0.53
13_52_03,0.59
13_52_04,0.57
13_52_05,0.59
13_52_06,0.64
13_52_07,0.5
13_52_08,0.62
13_52_09,0.58
13_52_10,0.58
13_52_11,0.52
13_52_12,0.53
13_52_13,0.62
13_52_14,0.77
13_52_15,0.55
13_52_16,0.51
13_52_18,0.31
13_52_19,0.55
13_52_20,0.56
13_52_21,0.61
13_52_22,0.53
13_52_23,0.51
13_52_24,0.47
13_52_25,0.57
13_52_26,0.57
13_52_27,0.62
13_52_28,0.56
13_52_29,0.59
13_52_30,0.66
13_52_31,0.52
13_52_32,0.61
13_52_33,0.62
13_52_34,0.66
13_52_35,0.6
13_52_36,0.54
13_52_37,0.61
13_52_38,0.53
13_52_39,0.58
13_52_40,0.6
13_52_41,0.65
13_52_42,0.51
